Question,Answer
"How long ago did the sunlight hitting us right now leave the Sun?

A. 42 zeptoseconds
B. 2.3 seconds
C. 8 minutes and 19 seconds
D. 2 weeks and 3 days",C. 8 minutes and 19 seconds
In what season do most cases of Hypothermia happen?,Spring
"True or False: Food, cookware and fuel should be stored in the same area of your backpack.",False (the fuel can leak)
"True or False: If a fire ring does not exist, your best option is to make one using rocks in the area.",False (leave no trace!)
What creature has the largest brain compared to its body size on earth?,An Ant
"What is an alternative name for Boutique Camping?

A. Work Camping
B. Adventure Camping
C. Historical Camping
D. Glamping",D. Glamping
What is North America's closest relative to the kangaroo?,Opossum
"What is the shape of a ""tipi"" tent?

A. Cubical
B. Conical
C. Oval
D. Pyramid",B. Conical
"What is the standard tie-in knot used by most rock climbers?
 
 A. Square Knot
 B. Double Figure 8
 C. Bowline
 D. Clove Hitch",B. Double Figure 8
"What is the term used for ""climbing urban structures""?

A. Bouldering
B. Bordering
C. Chalk Climbing
D. Buildering",D. Buildering
What local animal species can bite with 11 tons of pressure?,Squirrel
"When cycling on the road, you should:
 
 A. Ride against traffic
 B. Ride with traffic
 C. Ride on the sidewalk
 D. Ride in the middle of the road",B. Ride with traffic
"Where do you want most of the weight in your backpack?

A. The middle of your backpack, close to your back
B. The bottom of your backpack
C. The “brain,” or top, of your backpack
D. In the side pockets of your backpack","A. The middle of your pack, close to your back"
"Which is an alternative term for backpacking?

A. Kayaking
B. Trudging
C. Tramping
D. Backing",C. Tramping
"Which is more dangerous, a sharp knife or a dull knife?",A dull knife
"Which is NOT a component of a canoe?

A. Paddle
B. Steering
C. Hull
D. Oarlock",B. Steering
"Which is the highest class of river where rafting is almost impossible?

A. Class VI
B. Class IV
C. Class III
D. Class V",A. Class VI
Which kind of mosquito is only kind that bites?,Female mosquitos
"Which of the following items would be a poor choice to leave in a geocache?

A. An orange
B. A snow-globe
C. Perfume
D. All of the above",D. All of the above
"Which outdoor activity is also known as ""spelunking"" in the US and ""potholing"" in the UK?

A. Mountain Biking
B. Hiking
C. Caving
D. Canoeing",C. Caving
"What was the name of Scouting’s founder?

A. Dan Beard
B. Christopher Columbus
C. Robert Baden-Powell
D. William Clark",C. Robert Baden-Powell
"Which of the above types of shooting sport merit badges does scouting NOT offer?

A. Shotgun 
B. .22 Cal Rifle
C. Bow
D. Handgun",D. Handgun
"Which of these items is NOT a part of Scouting's ""Ten Essentials?""

A. Pocketknife
B. Flint and' Steel Firestarter
C. First aid kit
D. Cell Phone",D. Cellphone
"How many leaves does poison ivy have?

A. Seven
B. Five
C. Three
D. Four",C. Three
"Which of these badges is the highest award a scout can earn?

A. Scout Rank
B. Eagle Scout Rank
C. Star Scout Rank
D. Senior Patrol Leader",B. Eagle Scout Rank
"Which of the following activities are things that you can NOT do with Troop 9?

A. Go Skydiving
B. Go to a Rifle/Shotgun/Archery Range
C. Go Whitewater Rafting
D. Go Horseback Riding",A. Go Skydiving
"Which of these Camp Food Dinner Options is most popular with Troop 9?

A. Campfire Pizza
B. Seasoned Chicken & Veggies
C. Kebabs
D. Grilled Burgers",A. Campfire Pizza
"Where does Troop 9 meet each week on Tuesday Nights?

A. Norwood High School
B. Norwood Middle School
C. Norwood Community/Senior Center
D. One of the Scout’s houses",C. Norwood Community/Senior Center
"Which of the following is another name for the square knot?

A. Fisherman’s knot
B. Box knot
C. Monkey’s Fist
D. Reef knot",D. Reef Knot
"Who decides what activities Troop 9 does throughout the year?

A. Your Parents
B. You and the rest of the scouts
C. The adult leaders
D. Random people we talk to on the street",B. You and the rest of the scouts
"Which of these is a lashing that joins three sticks together to form a support to hang something from?

A. Round Lashing
B. Square Lashing
C. Hanging Lashing
D. Tripod Lashing",D. Tripod Lashing
"What should you do if a fish hook is stuck in your finger?

A. Snip the barbed end and pull it back out the way it came
B. Rip it out intact
C. Cut an incision between the two sides and pull it out
D. Leave the hook in",A. Snip the barbed end and pull it back out the way it came
"Which of the following tools can you NOT use on a Troop 9 campout?

A. A Chainsaw
B. An Axe
C. A Hatchet
D. A Saw",A. A Chainsaw
"Which of the following animals is a part of Scouting’s Logo?

A. A Badger
B. A Hawk
C. An Eagle
D. An Ostrich",C. An Eagle
"Which of the following is NOT a rank in Scouting?

A. Scout
B. Heart
C. Life
D. Tenderfoot",B. Heart
"Where do you sleep on campouts with Troop 9?

A. In a cabin
B. In the backseat of a car
C. On the branch of a tree
D. In a tent",D. In a Tent
"Which of the following is NOT a symptom of a stroke?

A. Pallor (pale skin)
B. Heavy Breathing
C. Giddiness
D. Confusion",C. Giddiness
"What does Troop 9 Mostly cook their meals on?

A. A Campfire
B. A Double-burner stove
C. The hood of a hot car
D. A Hotplate",B. A double-burner stove
"What is the name for a knot that slides and Intentionally allows movement?

A. A Hitch
B. A Slider
C. A Flex
D. A Lashing",A. A Hitch
"Which of the following is an invasive species in this area?

A. Poison Ivy
B. The Buckeye Tree
C. Japanese Honeysuckle
D. Poison Oak",C. Japanese Honeysuckle
"What Species of Bear is a scavenger that you should scare off with loud noises and large motions to protect yourself from?

A. A Polar Bear
B. A Black Bear
C. A Grizzly Bear
D. A Momma Bear",B. A Black Bear
True or False: One component of a typical Canoe is called the Yoke.,True (Bar in the middle)
True or False: There is no difference between a Paddle and an Oar.,"Flase (Oars are anchored and you face backwards when rowing, paddles are unanchored)"
"Which of the following is a Scout High-adventure base that offers week-long horseback ""Pack Trips?""

A. SeaBase
B. Summit Bechtel Reserve
C. Northern Tier High Adventure Base
D. Philmont Scout Ranch",D. Philmont Scout Ranch
"True or False: Scouts BSA Offers 110 Merit Badges, which range from Metalworking to Pet Care, Horsebacking to Skateboarding, even from Moviemaking to Small Boat Sailing.",False: There are 137 currently available merit badges
"Which of the following is NOT available as a merit badge in Scouts BSA?

A. Inventing
B. Taxidermy
C. Automotive Maintenance
D. Scuba Diving","B. Taxidermy, though it was available until 1952 and was one of the 57 original merit badges"
"Who decides what the scouts eat for food on their campouts?

A. The Scouts
B. The Adult Volunteers
C. Local Council Representatives
D. Your Parents",A. The Scouts
"Which of the following virtues is NOT a part of the Scout Law?

A. Courteousness
B. Thriftiness
C. Level-headedness
D. Loyalty",C. Level-headedness
